packageName,flowEntity,flowData,policyEntity,policyAction,policyData,policySentences,consistencyResult,entityVagueness,entityVaguenessRaw,dataVagueness,dataVaguenessRaw,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences
com.superplanet.videogameguardians,crashlytics,android id,third party,collect,android id,The third parties may receive the following information: android ID or Identifier for Advertisers (IDFA),vague,0.6666666666666666,2,0.0,0,,,,,
com.superplanet.videogameguardians,unity,android id,third party,collect,android id,The third parties may receive the following information: android ID or Identifier for Advertisers (IDFA),vague,0.6666666666666666,2,0.0,0,,,,,
com.google.android.apps.walletnfcrel,google,imei,google,collect,pii,"We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted under the Google Privacy Policy||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted by law||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as necessary to process your transaction and maintain your account, including to provide security improvements, protect your account against fraud, and for other everyday business purposes||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to complete your requested registration for a service provided by a third party||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to inform a third-party merchant, whose site or app you visit, whether you have a Google payments profile that can be used to make payments through that merchant's site or app.||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to share fraud risk scores and other fraud assessments with third parties that use Google's risk score and fraud prevention services, in order to protect your transactions with third parties from fraud and abuse||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to help ensure your payment method is secure and valid, and to provide you with relevant information about your payment method's features and benefits, we may share your personal information with your payment method issuer, payment network, processors, and their affiliates",vague,0.0,0,0.5,2,,,,,
com.google.android.apps.walletnfcrel,google,phone number,google,collect,pii,"We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted under the Google Privacy Policy||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted by law||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as necessary to process your transaction and maintain your account, including to provide security improvements, protect your account against fraud, and for other everyday business purposes||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to complete your requested registration for a service provided by a third party||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to inform a third-party merchant, whose site or app you visit, whether you have a Google payments profile that can be used to make payments through that merchant's site or app.||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to share fraud risk scores and other fraud assessments with third parties that use Google's risk score and fraud prevention services, in order to protect your transactions with third parties from fraud and abuse||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to help ensure your payment method is secure and valid, and to provide you with relevant information about your payment method's features and benefits, we may share your personal information with your payment method issuer, payment network, processors, and their affiliates",vague,0.0,0,0.5,2,,,,,
com.google.android.apps.walletnfcrel,google,serial number,google,collect,pii,"We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted under the Google Privacy Policy||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted by law||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as necessary to process your transaction and maintain your account, including to provide security improvements, protect your account against fraud, and for other everyday business purposes||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to complete your requested registration for a service provided by a third party||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to inform a third-party merchant, whose site or app you visit, whether you have a Google payments profile that can be used to make payments through that merchant's site or app.||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to share fraud risk scores and other fraud assessments with third parties that use Google's risk score and fraud prevention services, in order to protect your transactions with third parties from fraud and abuse||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to help ensure your payment method is secure and valid, and to provide you with relevant information about your payment method's features and benefits, we may share your personal information with your payment method issuer, payment network, processors, and their affiliates",vague,0.0,0,0.5,2,,,,,
com.google.android.apps.walletnfcrel,google,email address,google,collect,pii,"We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted under the Google Privacy Policy||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted by law||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as necessary to process your transaction and maintain your account, including to provide security improvements, protect your account against fraud, and for other everyday business purposes||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to complete your requested registration for a service provided by a third party||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to inform a third-party merchant, whose site or app you visit, whether you have a Google payments profile that can be used to make payments through that merchant's site or app.||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to share fraud risk scores and other fraud assessments with third parties that use Google's risk score and fraud prevention services, in order to protect your transactions with third parties from fraud and abuse||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to help ensure your payment method is secure and valid, and to provide you with relevant information about your payment method's features and benefits, we may share your personal information with your payment method issuer, payment network, processors, and their affiliates",vague,0.0,0,0.5,2,,,,,
com.google.android.apps.walletnfcrel,we,android id,we,collect,pii,"We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted under the Google Privacy Policy||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as permitted by law||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: as necessary to process your transaction and maintain your account, including to provide security improvements, protect your account against fraud, and for other everyday business purposes||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to complete your requested registration for a service provided by a third party||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to inform a third-party merchant, whose site or app you visit, whether you have a Google payments profile that can be used to make payments through that merchant's site or app.||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to share fraud risk scores and other fraud assessments with third parties that use Google's risk score and fraud prevention services, in order to protect your transactions with third parties from fraud and abuse||We will only share your personal information with other companies or individuals outside of Google in the following circumstances: to help ensure your payment method is secure and valid, and to provide you with relevant information about your payment method's features and benefits, we may share your personal information with your payment method issuer, payment network, processors, and their affiliates||Examples of when information may be shared when you add a third-party payment method to your Google payments profile, we may exchange certain personal information with the third-party payment provider so we can both provide the service to you.||If you do not want us to share personal information about your creditworthiness between GPC and its affiliates, or if you do not want our affiliates to use your personal information collected by us and shared with them to market to you, or if you do not want Google LLC or its affiliates to inform a third-party merchant, whose site or app you visit, whether you have a Google payments profile, please indicate your preference by logging in to your account, and going to your Google Payments privacy settings to update your privacy preferences.||We will not share your personal information with anyone outside of GPC or with our affiliates except as described in this Privacy Notice or the Google Privacy Policy.",vague,0.0,0.0,0.5,2,,,,,
com.apnax.wordsnack.hu,tapjoy,advertising identifier,third party,collect,pii,Below follows a more detailed description on how we and our partners use personal data.,vague,0.6666666666666666,2,0.5,2,,,,,
com.apnax.wordsnack.hu,tapjoy,android id,third party,collect,pii,Below follows a more detailed description on how we and our partners use personal data.,vague,0.6666666666666666,2,0.5,2,,,,,
com.apnax.wordsnack.hu,facebook,advertising identifier,third party,collect,pii,Below follows a more detailed description on how we and our partners use personal data.,vague,0.6666666666666666,2,0.5,2,,,,,
